ts,open,high,low,close,volume
2023-06-02 00:00:00,5.203,5.268,5.153,5.251,3777822.5
2023-06-02 04:00:00,5.252,5.301,5.242,5.259,2914185.6
2023-06-02 08:00:00,5.259,5.286,5.257,5.269,1487491.2
2023-06-02 12:00:00,5.269,5.276,5.196,5.243,4455500.6
2023-06-02 16:00:00,5.243,5.279,5.214,5.273,2503844.5
2023-06-02 20:00:00,5.273,5.297,5.26,5.274,1872842.2
2023-06-03 00:00:00,5.275,5.277,5.235,5.261,1523409.4
2023-06-03 04:00:00,5.261,5.287,5.249,5.282,1262207.3
2023-06-03 08:00:00,5.281,5.299,5.275,5.284,1401845.7
2023-06-03 12:00:00,5.284,5.303,5.257,5.287,1758310.5
2023-06-03 16:00:00,5.288,5.299,5.236,5.252,1803436.8
2023-06-03 20:00:00,5.251,5.341,5.24,5.339,2199981.0
2023-06-04 00:00:00,5.34,5.385,5.308,5.336,4877797.5
2023-06-04 04:00:00,5.336,5.356,5.322,5.353,1336741.3
2023-06-04 08:00:00,5.353,5.369,5.332,5.346,1815441.2
2023-06-04 12:00:00,5.346,5.362,5.323,5.331,1756708.6
2023-06-04 16:00:00,5.332,5.357,5.307,5.338,1551408.2
2023-06-04 20:00:00,5.338,5.373,5.304,5.31,2460249.4
2023-06-05 00:00:00,5.31,5.32,5.252,5.262,4294368.4
2023-06-05 04:00:00,5.261,5.298,5.231,5.297,3341790.2
2023-06-05 08:00:00,5.297,5.319,5.267,5.305,2029952.9
2023-06-05 12:00:00,5.305,5.309,5.01,5.019,8573349.2
2023-06-05 16:00:00,5.018,5.065,4.854,5.047,10648140.6
2023-06-05 20:00:00,5.047,5.081,5.01,5.061,2301455.8
2023-06-06 00:00:00,5.062,5.075,5.025,5.069,1486776.5
2023-06-06 04:00:00,5.068,5.09,5.06,5.064,1256406.6
2023-06-06 08:00:00,5.064,5.088,5.052,5.061,1276033.0
2023-06-06 12:00:00,5.062,5.117,4.981,5.083,6228299.8
2023-06-06 16:00:00,5.083,5.26,5.08,5.248,5691590.7
2023-06-06 20:00:00,5.247,5.267,5.192,5.199,3025996.1
2023-06-07 00:00:00,5.199,5.211,5.133,5.17,1998086.8
2023-06-07 04:00:00,5.17,5.211,5.152,5.17,1512748.5
2023-06-07 08:00:00,5.171,5.188,5.064,5.135,3840338.3
2023-06-07 12:00:00,5.136,5.14,5.007,5.033,5789135.3
2023-06-07 16:00:00,5.032,5.047,4.992,5.04,3133721.3
2023-06-07 20:00:00,5.04,5.044,4.969,5.021,2261395.4
