ts,open,high,low,close,volume
2023-06-02 00:00:00,6.342,6.447,6.299,6.444,2612566.86
2023-06-02 04:00:00,6.445,6.479,6.415,6.418,2380405.34
2023-06-02 08:00:00,6.419,6.442,6.388,6.417,1895501.63
2023-06-02 12:00:00,6.416,6.42,6.343,6.39,3574054.37
2023-06-02 16:00:00,6.39,6.455,6.367,6.452,2263578.63
2023-06-02 20:00:00,6.453,6.464,6.415,6.446,1324886.43
2023-06-03 00:00:00,6.446,6.457,6.394,6.414,1392653.73
2023-06-03 04:00:00,6.413,6.443,6.407,6.433,1075436.85
2023-06-03 08:00:00,6.433,6.442,6.409,6.437,901072.07
2023-06-03 12:00:00,6.437,6.449,6.403,6.436,1224181.85
2023-06-03 16:00:00,6.436,6.446,6.355,6.383,2081912.83
2023-06-03 20:00:00,6.383,6.42,6.363,6.418,765990.7
2023-06-04 00:00:00,6.419,6.467,6.39,6.452,1281409.11
2023-06-04 04:00:00,6.452,6.497,6.43,6.482,1440618.25
2023-06-04 08:00:00,6.481,6.512,6.481,6.494,1623688.84
2023-06-04 12:00:00,6.493,6.527,6.464,6.496,2178017.38
2023-06-04 16:00:00,6.496,6.52,6.472,6.518,1095647.15
2023-06-04 20:00:00,6.518,6.53,6.439,6.446,2203391.86
2023-06-05 00:00:00,6.446,6.491,6.346,6.357,4285686.84
2023-06-05 04:00:00,6.357,6.397,6.344,6.397,1791127.09
2023-06-05 08:00:00,6.397,6.406,6.359,6.374,1735732.44
2023-06-05 12:00:00,6.373,6.379,6.051,6.078,7755813.13
2023-06-05 16:00:00,6.082,6.16,5.924,6.049,10061015.86
2023-06-05 20:00:00,6.05,6.064,6.005,6.05,1999234.03
2023-06-06 00:00:00,6.05,6.075,5.999,6.044,1893762.88
2023-06-06 04:00:00,6.044,6.092,6.041,6.082,1277285.32
2023-06-06 08:00:00,6.082,6.13,6.078,6.107,1726019.23
2023-06-06 12:00:00,6.107,6.228,6.016,6.227,7989931.74
2023-06-06 16:00:00,6.226,6.309,6.202,6.288,4337988.61
2023-06-06 20:00:00,6.288,6.312,6.21,6.259,2822943.37
2023-06-07 00:00:00,6.259,6.268,6.162,6.181,2299886.93
2023-06-07 04:00:00,6.18,6.224,6.169,6.174,1577071.3
2023-06-07 08:00:00,6.175,6.186,6.057,6.101,4716788.88
2023-06-07 12:00:00,6.101,6.105,5.936,5.982,7212986.94
2023-06-07 16:00:00,5.982,5.992,5.905,5.934,4171706.57
2023-06-07 20:00:00,5.934,5.941,5.822,5.914,3981794.78
2023-06-08 00:00:00,5.913,5.967,5.878,5.906,2837291.8
2023-06-08 04:00:00,5.907,5.981,5.901,5.967,2125469.81
2023-06-08 08:00:00,5.967,6.013,5.958,5.988,2535776.66
2023-06-08 12:00:00,5.989,6.03,5.961,6.015,3365128.4
2023-06-08 16:00:00,6.015,6.018,5.941,6.017,2115559.23
2023-06-08 20:00:00,6.016,6.034,5.977,5.991,1529658.36
2023-06-09 00:00:00,5.992,6.002,5.916,5.971,2541634.94
2023-06-09 04:00:00,5.971,5.981,5.925,5.939,1799294.99
2023-06-09 08:00:00,5.939,6.012,5.923,6.001,1779527.68
2023-06-09 12:00:00,6.002,6.08,5.981,5.988,3549293.92
2023-06-09 16:00:00,5.987,6.022,5.929,5.932,2998907.55
2023-06-09 20:00:00,5.931,5.998,5.922,5.989,1873613.32
2023-06-10 00:00:00,5.989,6.006,5.746,5.77,7158319.98
2023-06-10 04:00:00,5.771,5.791,4.689,5.102,26273994.43
2023-06-10 08:00:00,5.102,5.144,4.96,5.064,7739041.32
2023-06-10 12:00:00,5.063,5.084,4.95,5.014,8437763.73
2023-06-10 16:00:00,5.013,5.166,4.901,5.15,9336826.98
2023-06-10 20:00:00,5.149,5.283,5.13,5.229,5184531.41
2023-06-11 00:00:00,5.23,5.236,5.164,5.187,3265518.75
