ts,open,high,low,close,volume
2023-06-02 00:00:00,20.486,20.776,20.289,20.756,2228165.0
2023-06-02 04:00:00,20.756,21.137,20.705,20.988,2636865.0
2023-06-02 08:00:00,20.987,21.29,20.984,21.246,2271737.0
2023-06-02 12:00:00,21.245,21.287,20.947,21.186,3529561.0
2023-06-02 16:00:00,21.185,21.378,21.063,21.297,2032313.0
2023-06-02 20:00:00,21.297,21.359,21.178,21.247,1316728.0
2023-06-03 00:00:00,21.246,21.301,21.067,21.12,1035835.0
2023-06-03 04:00:00,21.121,21.181,21.024,21.172,1156993.0
2023-06-03 08:00:00,21.172,21.232,21.081,21.166,1098649.0
2023-06-03 12:00:00,21.165,21.246,21.08,21.238,1224329.0
2023-06-03 16:00:00,21.239,21.34,21.026,21.053,1770925.0
2023-06-03 20:00:00,21.052,21.186,20.95,21.183,995252.0
2023-06-04 00:00:00,21.184,21.308,21.026,21.254,1039754.0
2023-06-04 04:00:00,21.254,21.84,21.215,21.607,3250543.0
2023-06-04 08:00:00,21.609,21.724,21.473,21.694,1703342.0
2023-06-04 12:00:00,21.694,22.149,21.675,22.04,4590048.0
2023-06-04 16:00:00,22.04,22.297,21.895,22.186,3542092.0
2023-06-04 20:00:00,22.187,22.287,21.77,21.814,3269794.0
2023-06-05 00:00:00,21.814,22.047,21.502,21.531,3994402.0
2023-06-05 04:00:00,21.531,21.69,21.404,21.649,2931473.0
2023-06-05 08:00:00,21.649,21.682,21.496,21.593,1932910.0
2023-06-05 12:00:00,21.593,21.594,19.85,19.94,8304020.0
2023-06-05 16:00:00,19.94,20.614,19.114,20.017,12043829.0
2023-06-05 20:00:00,20.017,20.117,19.653,19.997,2435084.0
2023-06-06 00:00:00,19.997,20.02,19.694,19.98,1765016.0
2023-06-06 04:00:00,19.982,20.105,19.901,20.085,1776336.0
2023-06-06 08:00:00,20.086,20.112,19.817,19.874,1774138.0
2023-06-06 12:00:00,19.875,20.13,19.229,19.935,10121461.0
2023-06-06 16:00:00,19.934,20.654,19.901,20.569,5826287.0
2023-06-06 20:00:00,20.573,20.698,20.221,20.379,3188196.0
2023-06-07 00:00:00,20.38,20.523,20.001,20.145,2945438.0
2023-06-07 04:00:00,20.144,20.237,19.955,19.998,1512225.0
2023-06-07 08:00:00,19.999,20.092,19.55,19.937,3738086.0
2023-06-07 12:00:00,19.938,19.958,19.21,19.307,5946470.0
2023-06-07 16:00:00,19.308,19.308,18.58,18.963,7703938.0
2023-06-07 20:00:00,18.964,18.979,18.499,18.627,4071868.0
2023-06-08 00:00:00,18.627,18.87,18.212,18.458,3765564.0
2023-06-08 04:00:00,18.457,18.76,18.376,18.638,3361663.0
2023-06-08 08:00:00,18.638,18.813,18.537,18.766,2828344.0
2023-06-08 12:00:00,18.767,18.992,18.7,18.896,4442873.0
2023-06-08 16:00:00,18.896,18.911,18.546,18.847,2685836.0
2023-06-08 20:00:00,18.846,19.112,18.806,18.873,2317838.0
2023-06-09 00:00:00,18.873,18.91,18.578,18.755,2672788.0
2023-06-09 04:00:00,18.754,18.799,18.458,18.581,2376311.0
2023-06-09 08:00:00,18.58,19.378,18.54,19.258,4956689.0
2023-06-09 12:00:00,19.258,19.32,18.47,18.668,6855816.0
2023-06-09 16:00:00,18.668,18.669,17.193,17.382,14133484.0
2023-06-09 20:00:00,17.383,17.744,17.095,17.384,9572468.0
2023-06-10 00:00:00,17.385,17.418,15.928,16.28,18507576.0
2023-06-10 04:00:00,16.279,16.464,12.6,14.393,54682941.0
2023-06-10 08:00:00,14.393,15.086,14.212,14.895,17938818.0
2023-06-10 12:00:00,14.894,14.906,14.4,14.768,14133551.0
2023-06-10 16:00:00,14.766,15.864,14.5,15.314,24119724.0
2023-06-10 20:00:00,15.314,15.87,15.177,15.605,9328755.0
2023-06-11 00:00:00,15.606,15.777,15.351,15.547,6557323.0
2023-06-11 04:00:00,15.547,15.722,15.249,15.381,7056720.0
2023-06-11 08:00:00,15.381,15.704,15.28,15.518,7034725.0
2023-06-11 12:00:00,15.517,15.675,15.101,15.211,7453586.0
2023-06-11 16:00:00,15.212,16.18,15.125,15.977,11769272.0
2023-06-11 20:00:00,15.977,16.15,15.348,15.534,7735125.0
2023-06-12 00:00:00,15.535,15.594,14.9,15.086,9379674.0
2023-06-12 04:00:00,15.087,15.3,14.976,15.074,5679084.0
2023-06-12 08:00:00,15.074,15.703,15.007,15.401,8635198.0
2023-06-12 12:00:00,15.402,15.47,15.125,15.199,6274679.0
2023-06-12 16:00:00,15.199,15.321,14.708,14.95,10857811.0
2023-06-12 20:00:00,14.949,15.395,14.892,15.183,5869088.0
2023-06-13 00:00:00,15.183,15.523,14.994,15.331,6221065.0
2023-06-13 04:00:00,15.33,15.508,15.115,15.412,4436121.0
2023-06-13 08:00:00,15.413,15.691,15.339,15.628,7620495.0
2023-06-13 12:00:00,15.629,16.0,14.751,14.79,16220541.0
2023-06-13 16:00:00,14.79,15.165,14.763,14.956,6815239.0
2023-06-13 20:00:00,14.956,15.078,14.85,15.025,3872666.0
2023-06-14 00:00:00,15.026,15.29,14.9,15.227,4317319.0
2023-06-14 04:00:00,15.227,15.257,14.99,15.043,3811451.0
2023-06-14 08:00:00,15.044,15.24,15.025,15.195,3164269.0
2023-06-14 12:00:00,15.195,15.287,14.98,15.092,4606779.0
2023-06-14 16:00:00,15.092,15.372,14.88,15.077,9956070.0
2023-06-14 20:00:00,15.078,15.124,13.97,14.476,13135590.0
2023-06-15 00:00:00,14.476,15.089,14.397,14.915,5665469.0
2023-06-15 04:00:00,14.915,14.928,14.619,14.81,6220249.0
2023-06-15 08:00:00,14.811,14.914,14.429,14.658,7303014.0
2023-06-15 12:00:00,14.658,14.807,14.346,14.471,7484047.0
2023-06-15 16:00:00,14.472,14.812,14.161,14.752,10447937.0
2023-06-15 20:00:00,14.752,15.069,14.587,14.766,6189397.0
2023-06-16 00:00:00,14.767,14.864,14.62,14.788,2734947.0
2023-06-16 04:00:00,14.789,14.979,14.771,14.846,2761316.0
2023-06-16 08:00:00,14.847,14.943,14.51,14.561,4641214.0
2023-06-16 12:00:00,14.56,15.094,14.315,15.001,8838557.0
2023-06-16 16:00:00,15.001,15.475,14.882,15.27,8916375.0
2023-06-16 20:00:00,15.271,15.432,15.214,15.306,3195367.0
2023-06-17 00:00:00,15.307,15.42,15.154,15.416,2807174.0
2023-06-17 04:00:00,15.417,16.211,15.354,15.847,8654087.0
2023-06-17 08:00:00,15.847,15.936,15.705,15.761,3535066.0
2023-06-17 12:00:00,15.762,15.912,15.545,15.647,4244075.0
2023-06-17 16:00:00,15.647,15.785,15.608,15.646,2610706.0
2023-06-17 20:00:00,15.645,15.758,15.577,15.633,1845656.0
2023-06-18 00:00:00,15.633,15.653,15.405,15.577,2635494.0
2023-06-18 04:00:00,15.576,15.694,15.466,15.576,2572737.0
2023-06-18 08:00:00,15.576,15.74,15.491,15.713,2337558.0
2023-06-18 12:00:00,15.713,15.787,15.602,15.706,2419844.0
2023-06-18 16:00:00,15.706,15.842,15.671,15.804,1885112.0
2023-06-18 20:00:00,15.804,15.83,15.25,15.43,5204765.0
2023-06-19 00:00:00,15.429,15.581,15.32,15.484,2302426.0
2023-06-19 04:00:00,15.484,15.535,15.389,15.464,1879742.0
2023-06-19 08:00:00,15.466,15.563,15.4,15.552,1850471.0
2023-06-19 12:00:00,15.551,15.697,15.442,15.554,3891913.0
2023-06-19 16:00:00,15.555,15.989,15.419,15.849,8490297.0
2023-06-19 20:00:00,15.849,16.154,15.781,16.1,4278382.0
2023-06-20 00:00:00,16.1,16.316,16.0,16.021,5118271.0
2023-06-20 04:00:00,16.02,16.12,15.903,15.968,2454121.0
2023-06-20 08:00:00,15.968,15.975,15.78,15.915,2548530.0
2023-06-20 12:00:00,15.915,16.09,15.715,15.939,5538526.0
2023-06-20 16:00:00,15.939,16.497,15.84,16.345,9781154.0
2023-06-20 20:00:00,16.344,16.682,16.264,16.632,4876897.0
2023-06-21 00:00:00,16.632,17.221,16.551,16.755,7053044.0
2023-06-21 04:00:00,16.755,16.957,16.702,16.816,4147496.0
2023-06-21 08:00:00,16.817,16.88,16.62,16.776,3903055.0
2023-06-21 12:00:00,16.775,17.089,16.511,16.883,7028772.0
2023-06-21 16:00:00,16.883,17.307,16.802,17.122,8624089.0
2023-06-21 20:00:00,17.124,17.395,16.954,17.22,4524340.0
2023-06-22 00:00:00,17.221,17.737,17.155,17.525,4635445.0
2023-06-22 04:00:00,17.524,17.55,17.13,17.365,3545415.0
2023-06-22 08:00:00,17.365,17.393,16.538,16.844,6529193.0
2023-06-22 12:00:00,16.844,17.166,16.621,16.887,5914552.0
2023-06-22 16:00:00,16.888,17.103,16.788,16.929,3926797.0
2023-06-22 20:00:00,16.929,16.948,16.56,16.62,2897628.0
2023-06-23 00:00:00,16.619,16.79,16.504,16.776,2810558.0
2023-06-23 04:00:00,16.777,16.858,16.674,16.766,2160399.0
2023-06-23 08:00:00,16.766,16.833,16.527,16.585,3525300.0
2023-06-23 12:00:00,16.584,17.051,16.129,16.961,9850184.0
2023-06-23 16:00:00,16.961,17.29,16.832,17.113,9009858.0
2023-06-23 20:00:00,17.113,17.526,16.905,17.129,5993815.0
2023-06-24 00:00:00,17.129,17.535,17.033,17.36,5223593.0
2023-06-24 04:00:00,17.36,17.417,17.005,17.064,2693199.0
2023-06-24 08:00:00,17.06,17.316,17.055,17.2,2310579.0
2023-06-24 12:00:00,17.201,17.388,16.4,16.614,6157290.0
2023-06-24 16:00:00,16.612,16.785,16.376,16.677,4405161.0
2023-06-24 20:00:00,16.676,16.687,16.32,16.634,2507746.0
2023-06-25 00:00:00,16.633,16.985,16.555,16.974,2745772.0
2023-06-25 04:00:00,16.976,17.36,16.918,17.26,4595824.0
2023-06-25 08:00:00,17.262,17.376,16.996,17.239,3912880.0
2023-06-25 12:00:00,17.238,17.292,16.75,17.104,5154083.0
2023-06-25 16:00:00,17.103,17.274,16.874,16.978,4153850.0
2023-06-25 20:00:00,16.979,17.099,16.781,16.947,2360435.0
2023-06-26 00:00:00,16.949,16.957,16.514,16.742,4129542.0
2023-06-26 04:00:00,16.741,17.054,16.597,16.92,3195271.0
2023-06-26 08:00:00,16.919,16.97,16.707,16.918,3151315.0
