ts,open,high,low,close,volume
2025-05-31 23:00:00,14.062,14.147,13.946,13.96,810668.13
2025-06-01 00:00:00,13.96,13.965,13.863,13.918,672960.73
2025-06-01 01:00:00,13.919,13.974,13.788,13.841,540893.32
2025-06-01 02:00:00,13.841,13.884,13.743,13.873,646175.39
2025-06-01 03:00:00,13.874,13.89,13.737,13.831,482803.51
2025-06-01 04:00:00,13.832,13.986,13.829,13.944,463884.28
2025-06-01 05:00:00,13.943,13.981,13.825,13.847,438483.52
2025-06-01 06:00:00,13.846,13.892,13.797,13.829,295215.48
2025-06-01 07:00:00,13.829,13.892,13.792,13.856,335780.95
2025-06-01 08:00:00,13.856,13.879,13.745,13.784,527785.4
2025-06-01 09:00:00,13.784,13.828,13.571,13.661,1024922.87
2025-06-01 10:00:00,13.662,13.766,13.631,13.757,674950.03
2025-06-01 11:00:00,13.757,13.84,13.739,13.801,496420.41
2025-06-01 12:00:00,13.801,13.82,13.691,13.755,464000.15
2025-06-01 13:00:00,13.754,13.868,13.74,13.806,485291.51
2025-06-01 14:00:00,13.806,13.956,13.805,13.898,603486.31
2025-06-01 15:00:00,13.898,13.952,13.863,13.932,372997.64
2025-06-01 16:00:00,13.931,14.09,13.914,14.015,1075629.78
2025-06-01 17:00:00,14.015,14.031,13.958,13.984,459213.48
2025-06-01 18:00:00,13.985,13.986,13.776,13.897,763964.06
2025-06-01 19:00:00,13.898,14.004,13.877,13.999,389538.93
2025-06-01 20:00:00,13.999,14.019,13.937,13.944,440313.47
2025-06-01 21:00:00,13.943,14.049,13.932,14.014,241295.52
2025-06-01 22:00:00,14.013,14.097,14.01,14.047,430679.52
2025-06-01 23:00:00,14.046,14.115,14.031,14.054,373769.26
2025-06-02 00:00:00,14.054,14.058,13.957,14.003,447851.71
2025-06-02 01:00:00,14.003,14.078,13.934,13.935,342170.0
2025-06-02 02:00:00,13.934,13.947,13.869,13.883,358123.11
2025-06-02 03:00:00,13.883,13.899,13.795,13.858,419313.56
2025-06-02 04:00:00,13.858,13.911,13.832,13.85,271637.2
2025-06-02 05:00:00,13.85,13.9,13.775,13.839,319692.07
2025-06-02 06:00:00,13.839,13.928,13.775,13.867,379265.76
2025-06-02 07:00:00,13.867,13.982,13.864,13.878,346269.55
2025-06-02 08:00:00,13.877,13.959,13.757,13.794,611173.35
2025-06-02 09:00:00,13.795,13.798,13.65,13.697,735616.37
2025-06-02 10:00:00,13.697,13.741,13.655,13.712,762011.27
2025-06-02 11:00:00,13.712,13.745,13.637,13.674,387608.85
2025-06-02 12:00:00,13.673,13.775,13.632,13.755,451210.67
2025-06-02 13:00:00,13.755,13.795,13.634,13.661,834091.48
2025-06-02 14:00:00,13.66,13.822,13.62,13.705,1302411.3
2025-06-02 15:00:00,13.704,13.783,13.627,13.701,746814.75
2025-06-02 16:00:00,13.702,13.751,13.611,13.727,690650.54
2025-06-02 17:00:00,13.727,13.777,13.663,13.737,487165.03
2025-06-02 18:00:00,13.736,13.836,13.704,13.726,557691.64
2025-06-02 19:00:00,13.725,13.774,13.58,13.667,596188.98
2025-06-02 20:00:00,13.667,13.845,13.666,13.796,725147.41
2025-06-02 21:00:00,13.796,13.889,13.793,13.88,507262.01
2025-06-02 22:00:00,13.879,14.061,13.877,14.006,852616.53
2025-06-02 23:00:00,14.007,14.114,13.996,14.071,750136.7
2025-06-03 00:00:00,14.072,14.232,14.027,14.139,866434.37
2025-06-03 01:00:00,14.14,14.394,14.124,14.383,945229.22
2025-06-03 02:00:00,14.383,14.437,14.191,14.217,1001419.4
2025-06-03 03:00:00,14.217,14.243,14.082,14.139,694646.47
2025-06-03 04:00:00,14.139,14.175,14.038,14.065,487294.73
2025-06-03 05:00:00,14.065,14.196,14.065,14.18,457649.48
2025-06-03 06:00:00,14.179,14.216,14.128,14.216,303811.18
2025-06-03 07:00:00,14.215,14.216,14.111,14.122,444639.52
2025-06-03 08:00:00,14.121,14.155,13.994,14.061,551553.2
2025-06-03 09:00:00,14.061,14.112,13.998,14.08,514727.24
2025-06-03 10:00:00,14.079,14.124,14.038,14.11,431200.34
2025-06-03 11:00:00,14.111,14.159,14.053,14.074,383020.54
2025-06-03 12:00:00,14.074,14.151,14.032,14.14,531043.0
2025-06-03 13:00:00,14.139,14.28,14.114,14.178,1049728.44
2025-06-03 14:00:00,14.178,14.37,14.075,14.348,1063598.89
2025-06-03 15:00:00,14.348,14.429,14.274,14.321,1137753.62
2025-06-03 16:00:00,14.321,14.359,14.224,14.23,771845.59
2025-06-03 17:00:00,14.229,14.397,14.209,14.311,513478.93
2025-06-03 18:00:00,14.311,14.311,14.225,14.276,363644.68
2025-06-03 19:00:00,14.276,14.384,14.274,14.347,399170.98
2025-06-03 20:00:00,14.347,14.353,14.081,14.168,777812.78
2025-06-03 21:00:00,14.168,14.194,13.952,14.031,651080.39
2025-06-03 22:00:00,14.032,14.21,14.014,14.179,565613.68
2025-06-03 23:00:00,14.179,14.182,14.063,14.103,325656.35
2025-06-04 00:00:00,14.103,14.199,14.048,14.197,527527.63
2025-06-04 01:00:00,14.198,14.364,14.198,14.323,738808.11
2025-06-04 02:00:00,14.323,14.391,14.235,14.248,489987.65
2025-06-04 03:00:00,14.248,14.38,14.244,14.329,420641.68
2025-06-04 04:00:00,14.329,14.39,14.3,14.377,408924.66
2025-06-04 05:00:00,14.376,14.406,14.262,14.269,463655.83
2025-06-04 06:00:00,14.27,14.312,14.221,14.267,450770.19
2025-06-04 07:00:00,14.268,14.307,14.218,14.281,371812.16
2025-06-04 08:00:00,14.282,14.399,14.268,14.376,578206.48
2025-06-04 09:00:00,14.375,14.412,14.293,14.393,602163.04
2025-06-04 10:00:00,14.393,14.469,14.272,14.284,652900.75
2025-06-04 11:00:00,14.284,14.302,14.181,14.188,585164.93
2025-06-04 12:00:00,14.189,14.224,14.075,14.109,841172.8
2025-06-04 13:00:00,14.108,14.173,14.044,14.062,916829.31
2025-06-04 14:00:00,14.061,14.133,13.953,14.131,1088313.39
2025-06-04 15:00:00,14.131,14.211,14.087,14.167,958153.17
2025-06-04 16:00:00,14.166,14.174,14.074,14.157,491135.56
2025-06-04 17:00:00,14.156,14.159,13.926,13.983,686206.02
2025-06-04 18:00:00,13.984,14.046,13.937,13.949,474929.96
2025-06-04 19:00:00,13.95,13.983,13.88,13.889,553268.62
2025-06-04 20:00:00,13.888,13.902,13.71,13.775,986130.72
2025-06-04 21:00:00,13.774,13.942,13.707,13.896,435346.45
2025-06-04 22:00:00,13.897,13.923,13.788,13.812,477330.86
