ts,open,high,low,close,volume
2025-05-31 23:00:00,87.25,87.67,86.93,86.99,61673.373
2025-06-01 00:00:00,87.0,87.05,86.61,87.02,59893.286
2025-06-01 01:00:00,87.02,87.34,86.24,86.56,59525.564
2025-06-01 02:00:00,86.57,87.16,86.12,86.97,62575.492
2025-06-01 03:00:00,86.97,87.16,86.4,87.0,40873.556
2025-06-01 04:00:00,87.0,87.54,86.89,87.36,38442.604
2025-06-01 05:00:00,87.36,87.45,86.92,87.05,36372.938
2025-06-01 06:00:00,87.05,87.07,86.51,86.58,50073.735
2025-06-01 07:00:00,86.58,86.71,86.27,86.56,32925.531
2025-06-01 08:00:00,86.57,86.73,86.31,86.59,98774.922
2025-06-01 09:00:00,86.59,86.86,85.68,86.24,134191.301
2025-06-01 10:00:00,86.24,86.61,86.04,86.47,46216.606
2025-06-01 11:00:00,86.48,86.97,86.27,86.71,47722.513
2025-06-01 12:00:00,86.71,86.92,86.15,86.52,46273.296
2025-06-01 13:00:00,86.52,87.86,86.49,87.41,111925.639
2025-06-01 14:00:00,87.42,87.85,87.35,87.45,60196.173
2025-06-01 15:00:00,87.45,87.7,87.22,87.68,44511.918
2025-06-01 16:00:00,87.68,88.4,87.46,88.09,112552.54
2025-06-01 17:00:00,88.09,88.17,87.75,88.01,52764.95
2025-06-01 18:00:00,88.02,88.02,86.74,87.4,77171.149
2025-06-01 19:00:00,87.41,88.01,87.36,88.0,34035.654
2025-06-01 20:00:00,87.99,88.19,87.64,87.81,44227.64
2025-06-01 21:00:00,87.81,88.29,87.75,88.26,26633.234
2025-06-01 22:00:00,88.26,88.52,88.14,88.24,39616.108
2025-06-01 23:00:00,88.24,88.67,88.24,88.36,26646.376
2025-06-02 00:00:00,88.35,88.48,88.03,88.23,45315.007
2025-06-02 01:00:00,88.23,88.57,87.86,87.87,45847.677
2025-06-02 02:00:00,87.88,87.92,87.38,87.44,51758.546
2025-06-02 03:00:00,87.45,87.54,86.92,87.34,59068.661
2025-06-02 04:00:00,87.33,87.73,87.2,87.36,27481.801
2025-06-02 05:00:00,87.36,87.78,87.19,87.57,33570.599
2025-06-02 06:00:00,87.58,88.34,87.36,88.07,58804.365
2025-06-02 07:00:00,88.07,89.88,88.06,89.0,299394.629
2025-06-02 08:00:00,89.0,89.61,88.46,88.7,110462.268
2025-06-02 09:00:00,88.7,89.02,88.11,88.2,96335.324
2025-06-02 10:00:00,88.19,88.48,87.75,88.35,100577.486
2025-06-02 11:00:00,88.34,88.43,87.62,87.82,62496.83
2025-06-02 12:00:00,87.82,88.58,87.62,88.54,70747.642
2025-06-02 13:00:00,88.55,88.67,87.6,87.67,81183.917
2025-06-02 14:00:00,87.67,88.6,87.33,88.15,84719.65
2025-06-02 15:00:00,88.14,88.66,87.8,88.39,58257.151
2025-06-02 16:00:00,88.4,88.41,87.68,87.94,55536.384
2025-06-02 17:00:00,87.94,88.5,87.69,88.39,56783.045
2025-06-02 18:00:00,88.38,89.08,88.34,88.61,75647.402
2025-06-02 19:00:00,88.61,88.97,87.98,88.58,65447.747
2025-06-02 20:00:00,88.59,89.17,88.57,88.82,45231.231
2025-06-02 21:00:00,88.83,89.14,88.67,89.13,32225.33
2025-06-02 22:00:00,89.14,89.79,89.13,89.46,71521.724
2025-06-02 23:00:00,89.47,89.94,89.41,89.49,64368.581
2025-06-03 00:00:00,89.49,90.25,89.3,90.05,92312.083
2025-06-03 01:00:00,90.06,90.54,89.94,90.46,73998.835
2025-06-03 02:00:00,90.46,90.55,89.64,89.71,81566.395
2025-06-03 03:00:00,89.71,89.81,89.32,89.46,56614.748
2025-06-03 04:00:00,89.45,89.48,88.99,89.11,43498.16
2025-06-03 05:00:00,89.11,89.74,89.11,89.68,37885.168
2025-06-03 06:00:00,89.68,89.83,89.37,89.81,41772.801
2025-06-03 07:00:00,89.81,89.93,89.35,89.41,47718.708
2025-06-03 08:00:00,89.41,89.53,88.93,89.4,65657.82
2025-06-03 09:00:00,89.4,89.72,89.29,89.63,46439.444
2025-06-03 10:00:00,89.63,89.63,89.01,89.17,67102.217
2025-06-03 11:00:00,89.18,89.29,88.7,88.9,50463.277
2025-06-03 12:00:00,88.91,89.13,88.66,88.99,45309.51
2025-06-03 13:00:00,88.99,89.59,88.89,89.31,98997.389
2025-06-03 14:00:00,89.32,90.13,88.82,90.06,99778.552
2025-06-03 15:00:00,90.06,90.2,89.69,89.84,84427.121
2025-06-03 16:00:00,89.83,90.02,89.52,89.54,73784.225
2025-06-03 17:00:00,89.54,90.09,89.46,89.97,54512.251
2025-06-03 18:00:00,89.97,90.12,89.6,90.09,38962.926
2025-06-03 19:00:00,90.09,90.52,90.0,90.29,58459.802
2025-06-03 20:00:00,90.29,90.31,89.36,89.81,59839.716
2025-06-03 21:00:00,89.82,89.89,88.61,88.96,70175.389
2025-06-03 22:00:00,88.96,89.84,88.87,89.69,45272.537
