ts,open,high,low,close,volume
2025-06-01 00:00:00,657.92,657.93,652.31,655.31,66584.44
2025-06-01 04:00:00,655.3,656.79,651.77,653.14,53748.2
2025-06-01 08:00:00,653.14,653.15,647.79,650.11,68058.57
2025-06-01 12:00:00,650.1,654.22,647.12,654.19,51300.43
2025-06-01 16:00:00,654.19,657.49,650.4,654.7,54816.07
2025-06-01 20:00:00,654.7,662.44,654.63,660.66,66904.4
2025-06-02 00:00:00,660.65,664.3,656.36,656.72,70491.8
2025-06-02 04:00:00,656.72,659.25,654.78,657.99,56751.57
2025-06-02 08:00:00,657.99,658.46,650.1,651.03,85168.43
2025-06-02 12:00:00,651.03,657.93,649.61,656.93,93508.26
2025-06-02 16:00:00,656.93,661.92,655.41,661.01,56994.1
2025-06-02 20:00:00,661.01,667.24,660.24,665.93,71712.64
2025-06-03 00:00:00,665.93,673.76,665.79,667.82,123868.6
2025-06-03 04:00:00,667.82,668.66,665.1,665.28,38577.78
2025-06-03 08:00:00,665.28,667.9,663.8,664.92,68209.94
2025-06-03 12:00:00,664.93,668.31,661.63,666.85,107904.06
2025-06-03 16:00:00,666.85,667.64,662.79,664.91,44294.79
2025-06-03 20:00:00,664.92,665.0,656.66,661.33,66631.0
2025-06-04 00:00:00,661.33,669.99,660.64,668.41,77528.54
2025-06-04 04:00:00,668.4,670.99,668.1,670.8,62039.9
2025-06-04 08:00:00,670.81,671.83,667.5,667.86,52870.8
2025-06-04 12:00:00,667.86,670.5,665.13,669.42,79334.38
2025-06-04 16:00:00,669.43,670.0,666.13,667.36,50955.78
2025-06-04 20:00:00,667.35,667.47,661.52,662.93,73279.08
2025-06-05 00:00:00,662.93,666.43,662.64,665.59,40195.09
2025-06-05 04:00:00,665.59,668.5,664.96,668.37,57022.43
2025-06-05 08:00:00,668.37,670.74,661.94,662.1,118753.15
2025-06-05 12:00:00,662.11,665.5,656.42,659.04,163991.28
2025-06-05 16:00:00,659.04,659.04,640.5,644.04,194452.87
2025-06-05 20:00:00,644.04,644.04,622.05,632.9,305869.54
2025-06-06 00:00:00,632.9,641.27,628.56,640.88,101666.38
2025-06-06 04:00:00,640.87,642.0,634.6,640.97,84374.92
2025-06-06 08:00:00,640.97,646.66,640.36,646.09,88551.38
2025-06-06 12:00:00,646.09,651.12,645.51,647.49,123186.2
2025-06-06 16:00:00,647.46,648.49,643.76,644.95,52588.06
2025-06-06 20:00:00,644.96,646.56,640.79,642.25,68270.71
2025-06-07 00:00:00,642.26,646.98,639.13,646.78,69971.24
2025-06-07 04:00:00,646.78,649.58,645.15,648.34,38566.05
2025-06-07 08:00:00,648.34,648.87,646.01,648.05,34131.51
2025-06-07 12:00:00,648.04,650.97,647.87,650.4,49596.46
2025-06-07 16:00:00,650.39,652.53,649.12,651.73,57972.39
2025-06-07 20:00:00,651.73,653.54,650.08,650.41,37948.88
2025-06-08 00:00:00,650.41,650.48,648.19,648.98,36823.35
2025-06-08 04:00:00,648.98,650.34,648.5,648.99,28765.61
2025-06-08 08:00:00,649.0,650.13,646.21,650.11,40908.72
2025-06-08 12:00:00,650.11,651.87,649.15,651.58,41896.46
2025-06-08 16:00:00,651.59,654.74,651.58,654.33,46576.32
2025-06-08 20:00:00,654.34,656.19,651.21,651.64,47078.59
2025-06-09 00:00:00,651.65,653.19,648.03,651.25,48370.12
2025-06-09 04:00:00,651.24,651.24,647.52,648.96,38730.24
2025-06-09 08:00:00,648.97,656.14,647.85,655.23,70154.92
2025-06-09 12:00:00,655.23,656.74,652.39,656.16,64947.44
2025-06-09 16:00:00,656.17,660.76,656.17,659.49,71184.26
2025-06-09 20:00:00,659.5,667.76,659.5,665.61,107758.1
2025-06-10 00:00:00,665.61,668.01,663.42,664.02,63582.71
2025-06-10 04:00:00,664.03,664.37,659.82,660.61,58005.79
2025-06-10 08:00:00,660.61,665.46,656.77,664.92,126980.4
2025-06-10 12:00:00,664.91,667.45,657.88,660.96,126473.93
2025-06-10 16:00:00,660.97,669.09,660.81,667.34,72064.6
2025-06-10 20:00:00,667.34,674.59,667.25,673.66,149795.93
2025-06-11 00:00:00,673.67,674.43,667.95,670.72,83372.05
2025-06-11 04:00:00,670.73,672.38,668.57,670.08,63457.72
2025-06-11 08:00:00,670.07,672.36,666.02,667.39,93535.8
2025-06-11 12:00:00,667.39,672.36,665.71,669.59,103509.34
2025-06-11 16:00:00,669.59,669.79,665.17,667.16,68332.42
2025-06-11 20:00:00,667.16,669.15,662.06,667.58,67293.88
2025-06-12 00:00:00,667.59,670.24,664.13,665.88,65203.33
2025-06-12 04:00:00,665.89,668.72,664.15,667.29,47951.67
2025-06-12 08:00:00,667.29,669.17,663.4,663.54,67035.08
2025-06-12 12:00:00,663.54,665.13,659.53,659.81,97197.37
2025-06-12 16:00:00,659.81,666.8,657.3,658.0,98006.29
2025-06-12 20:00:00,658.0,658.97,651.42,654.41,97035.08
2025-06-13 00:00:00,654.41,654.44,637.55,649.04,254783.25
2025-06-13 04:00:00,649.05,654.9,645.61,654.83,81374.7
2025-06-13 08:00:00,654.83,659.7,652.16,654.6,145055.38
2025-06-13 12:00:00,654.6,654.83,649.18,653.47,89159.53
2025-06-13 16:00:00,653.48,655.34,649.3,650.96,52821.46
2025-06-13 20:00:00,650.96,655.04,650.04,655.04,33673.52
2025-06-14 00:00:00,655.03,655.05,650.0,650.87,40034.67
2025-06-14 04:00:00,650.87,652.17,649.69,651.43,31602.16
2025-06-14 08:00:00,651.42,651.43,648.69,650.16,40928.11
2025-06-14 12:00:00,650.17,650.32,643.88,644.94,55145.16
2025-06-14 16:00:00,644.94,645.72,638.52,640.28,90356.19
2025-06-14 20:00:00,640.27,645.99,638.37,645.23,36927.82
2025-06-15 00:00:00,645.23,647.66,644.56,647.24,29604.06
2025-06-15 04:00:00,647.24,651.76,647.23,648.82,58176.78
2025-06-15 08:00:00,648.82,649.22,645.66,648.08,40424.05
2025-06-15 12:00:00,648.07,650.94,646.63,647.51,47663.5
2025-06-15 16:00:00,647.51,648.85,645.37,646.44,28550.38
2025-06-15 20:00:00,646.44,648.29,642.36,647.92,43064.04
2025-06-16 00:00:00,647.93,652.54,646.0,651.49,56206.68
2025-06-16 04:00:00,651.49,656.92,651.05,655.96,60360.5
2025-06-16 08:00:00,655.96,656.77,653.12,654.6,45757.45
2025-06-16 12:00:00,654.61,659.62,653.76,657.58,65444.23
2025-06-16 16:00:00,657.57,659.25,655.73,659.24,42977.13
2025-06-16 20:00:00,659.24,659.25,650.06,650.74,74006.08
2025-06-17 00:00:00,650.74,656.74,647.02,656.58,82385.73
2025-06-17 04:00:00,656.58,659.25,655.15,657.88,72086.33
2025-06-17 08:00:00,657.88,658.75,652.56,653.68,148526.95
2025-06-17 12:00:00,653.69,656.32,645.0,646.36,95939.89
2025-06-17 16:00:00,646.35,649.8,640.0,648.32,101738.76
2025-06-17 20:00:00,648.31,648.97,645.42,648.04,47606.17
2025-06-18 00:00:00,648.04,654.19,647.86,652.14,69445.63
2025-06-18 04:00:00,652.14,653.9,650.5,651.45,48894.32
2025-06-18 08:00:00,651.44,652.46,641.22,644.78,122908.64
2025-06-18 12:00:00,644.78,644.82,636.69,641.64,133079.82
2025-06-18 16:00:00,641.63,642.62,637.02,639.06,73915.76
2025-06-18 20:00:00,639.06,645.18,638.17,644.33,50032.09
2025-06-19 00:00:00,644.33,645.63,641.0,645.16,44414.0
2025-06-19 04:00:00,645.16,646.43,643.7,644.55,41916.23
2025-06-19 08:00:00,644.55,645.9,642.27,642.37,34533.58
2025-06-19 12:00:00,642.38,642.89,639.16,639.48,64087.38
2025-06-19 16:00:00,639.47,642.68,638.24,642.27,49236.11
2025-06-19 20:00:00,642.26,644.88,641.55,644.51,33263.65
2025-06-20 00:00:00,644.52,645.52,643.46,644.67,35902.2
2025-06-20 04:00:00,644.68,647.46,641.27,647.46,63168.77
2025-06-20 08:00:00,647.46,649.33,646.12,647.28,84987.39
2025-06-20 12:00:00,647.28,654.0,642.98,645.5,112329.11
2025-06-20 16:00:00,645.5,645.71,637.88,642.85,110017.06
2025-06-20 20:00:00,642.85,645.4,639.83,641.68,52896.71
2025-06-21 00:00:00,641.69,644.96,640.93,644.34,38052.81
2025-06-21 04:00:00,644.33,644.5,636.7,641.27,64492.55
2025-06-21 08:00:00,641.26,642.38,638.9,642.28,44022.27
2025-06-21 12:00:00,642.27,642.69,633.85,636.11,110257.93
2025-06-21 16:00:00,636.1,636.63,630.2,630.59,70429.0
2025-06-21 20:00:00,630.59,632.95,620.91,628.75,135926.65
2025-06-22 00:00:00,628.75,633.06,626.5,629.26,89543.38
2025-06-22 04:00:00,629.27,635.41,629.2,632.7,68939.23
