ts,open,high,low,close,volume
2023-06-01 00:00:00,20.81,20.971,20.719,20.781,902432.0
2023-06-01 01:00:00,20.783,20.863,20.723,20.759,385193.0
2023-06-01 02:00:00,20.758,20.765,20.413,20.483,944552.0
2023-06-01 03:00:00,20.483,20.747,20.411,20.69,830186.0
2023-06-01 04:00:00,20.692,20.738,20.655,20.66,366446.0
2023-06-01 05:00:00,20.66,20.696,20.604,20.62,316207.0
2023-06-01 06:00:00,20.62,20.676,20.544,20.595,508347.0
2023-06-01 07:00:00,20.595,20.681,20.551,20.611,441299.0
2023-06-01 08:00:00,20.611,20.663,20.581,20.646,337661.0
2023-06-01 09:00:00,20.645,20.72,20.641,20.692,395727.0
2023-06-01 10:00:00,20.691,20.719,20.631,20.671,296507.0
2023-06-01 11:00:00,20.671,20.729,20.663,20.708,288578.0
2023-06-01 12:00:00,20.708,20.878,20.677,20.822,703422.0
2023-06-01 13:00:00,20.822,20.895,20.671,20.689,790488.0
2023-06-01 14:00:00,20.69,20.79,20.612,20.709,656730.0
2023-06-01 15:00:00,20.708,20.745,20.65,20.686,371723.0
2023-06-01 16:00:00,20.687,20.862,20.556,20.814,900183.0
2023-06-01 17:00:00,20.814,20.838,20.65,20.684,644700.0
2023-06-01 18:00:00,20.683,20.802,20.661,20.775,419755.0
2023-06-01 19:00:00,20.776,20.801,20.5,20.672,722973.0
2023-06-01 20:00:00,20.672,20.693,20.635,20.669,254947.0
2023-06-01 21:00:00,20.669,20.716,20.522,20.545,324308.0
2023-06-01 22:00:00,20.544,20.58,20.5,20.561,312974.0
2023-06-01 23:00:00,20.561,20.565,20.392,20.486,502411.0
2023-06-02 00:00:00,20.486,20.568,20.289,20.565,964652.0
2023-06-02 01:00:00,20.566,20.625,20.464,20.591,474508.0
2023-06-02 02:00:00,20.592,20.776,20.592,20.746,451728.0
2023-06-02 03:00:00,20.747,20.76,20.666,20.756,337277.0
2023-06-02 04:00:00,20.756,20.976,20.705,20.93,948756.0
2023-06-02 05:00:00,20.929,21.137,20.929,21.057,942306.0
2023-06-02 06:00:00,21.058,21.078,21.006,21.009,408002.0
2023-06-02 07:00:00,21.009,21.052,20.977,20.988,337801.0
2023-06-02 08:00:00,20.987,21.22,20.984,21.181,704380.0
2023-06-02 09:00:00,21.181,21.267,21.129,21.139,735544.0
2023-06-02 10:00:00,21.139,21.209,21.139,21.186,351174.0
2023-06-02 11:00:00,21.185,21.29,21.18,21.246,480639.0
2023-06-02 12:00:00,21.245,21.287,21.075,21.14,1209259.0
2023-06-02 13:00:00,21.14,21.184,20.947,20.978,1104791.0
2023-06-02 14:00:00,20.978,21.09,20.958,21.076,649543.0
2023-06-02 15:00:00,21.076,21.193,21.071,21.186,565968.0
2023-06-02 16:00:00,21.185,21.216,21.064,21.093,414117.0
2023-06-02 17:00:00,21.092,21.128,21.063,21.122,238524.0
2023-06-02 18:00:00,21.122,21.265,21.065,21.262,554023.0
2023-06-02 19:00:00,21.261,21.378,21.223,21.297,825649.0
2023-06-02 20:00:00,21.297,21.338,21.205,21.214,476665.0
2023-06-02 21:00:00,21.214,21.359,21.178,21.289,397775.0
2023-06-02 22:00:00,21.29,21.326,21.274,21.308,231547.0
2023-06-02 23:00:00,21.308,21.328,21.229,21.247,210741.0
2023-06-03 00:00:00,21.246,21.301,21.202,21.225,369210.0
2023-06-03 01:00:00,21.224,21.225,21.067,21.12,370547.0
2023-06-03 02:00:00,21.121,21.173,21.12,21.145,130359.0
2023-06-03 03:00:00,21.145,21.171,21.108,21.12,165719.0
2023-06-03 04:00:00,21.121,21.16,21.1,21.144,200799.0
2023-06-03 05:00:00,21.144,21.152,21.024,21.066,449886.0
2023-06-03 06:00:00,21.066,21.152,21.066,21.141,254723.0
2023-06-03 07:00:00,21.141,21.181,21.121,21.172,251585.0
2023-06-03 08:00:00,21.172,21.183,21.081,21.087,228546.0
2023-06-03 09:00:00,21.088,21.155,21.084,21.129,166909.0
2023-06-03 10:00:00,21.128,21.217,21.083,21.216,407417.0
2023-06-03 11:00:00,21.217,21.232,21.147,21.166,295777.0
2023-06-03 12:00:00,21.165,21.238,21.165,21.194,228841.0
2023-06-03 13:00:00,21.193,21.21,21.091,21.15,312937.0
2023-06-03 14:00:00,21.149,21.175,21.102,21.125,235315.0
2023-06-03 15:00:00,21.125,21.246,21.08,21.238,447236.0
