Hafta,Tarih,İşlem Sayısı,Haftalık Kâr/Zarar ($),Haftalık Getiri (%),Kasa Durumu ($)
1,2025-06-03 / 2025-06-10,21,96.36,0.96,10096.36
2,2025-06-10 / 2025-06-16,25,-596.94,-5.91,9499.42
3,2025-06-20 / 2025-06-23,7,14.01,0.15,9513.43
4,2025-06-24 / 2025-06-30,11,1608.23,16.9,11121.66
5,2025-07-01 / 2025-07-07,25,-1177.15,-10.58,9944.5
6,2025-07-08 / 2025-07-15,29,5272.33,53.02,15216.84
7,2025-07-15 / 2025-07-21,19,4440.9,29.18,19657.74
8,2025-07-22 / 2025-07-28,15,2278.43,11.59,21936.17
9,2025-07-29 / 2025-08-03,18,-6848.55,-31.22,15087.63
10,2025-08-05 / 2025-08-11,34,3724.65,24.69,18812.27
11,2025-08-13 / 2025-08-19,14,4575.63,24.32,23387.9
12,2025-08-19 / 2025-08-24,14,4707.41,20.13,28095.31
13,2025-08-26 / 2025-09-01,12,3856.92,13.73,31952.23
14,2025-09-02 / 2025-09-09,13,3150.52,9.86,35102.74
15,2025-09-09 / 2025-09-15,14,6758.29,19.25,41861.03
16,2025-09-16 / 2025-09-22,15,2813.78,6.72,44674.81
17,2025-09-23 / 2025-09-29,11,-6008.31,-13.45,38666.5
18,2025-09-30 / 2025-10-07,23,26070.33,67.42,64736.83
19,2025-10-07 / 2025-10-13,13,5006.31,7.73,69743.14
20,2025-10-14 / 2025-10-21,11,1101.81,1.58,70844.95
21,2025-10-21 / 2025-10-27,16,24682.19,34.84,95527.14
22,2025-10-28 / 2025-11-03,17,-22005.31,-23.04,73521.84
23,2025-11-09 / 2025-11-11,7,11482.69,15.62,85004.53
24,2025-11-11 / 2025-11-17,7,533.31,0.63,85537.84
25,2025-11-19 / 2025-11-24,9,5595.26,6.54,91133.1
26,2025-11-25 / 2025-12-01,18,8072.74,8.86,99205.84
27,2025-12-02 / 2025-12-08,14,34003.89,34.28,133209.74
28,2025-12-10 / 2025-12-15,10,-11198.76,-8.41,122010.97
29,2025-12-16 / 2025-12-22,17,14052.24,11.52,136063.22
30,2025-12-23 / 2025-12-29,12,-6824.14,-5.02,129239.08
31,2025-12-30 / 2026-01-05,25,18423.42,14.26,147662.5
32,2026-01-06 / 2026-01-12,22,-25209.35,-17.07,122453.15
33,2026-01-13 / 2026-01-19,10,18280.67,14.93,140733.82
34,2026-01-20 / 2026-01-26,18,-21341.97,-15.16,119391.85
35,2026-01-27 / 2026-01-31,11,-9858.57,-8.26,109533.28
36,2026-02-03 / 2026-02-09,4,9931.8,9.07,119465.08
37,2026-02-11 / 2026-02-15,9,43664.76,36.55,163129.84
38,2026-02-20 / 2026-02-24,11,9045.27,5.54,172175.11
39,2026-02-24 / 2026-03-01,17,148528.34,86.27,320703.45
40,2026-03-04 / 2026-03-09,5,4597.79,1.43,325301.24
41,2026-03-10 / 2026-03-16,7,8026.57,2.47,333327.81
42,2026-03-17 / 2026-03-24,9,19926.52,5.98,353254.33
43,2026-03-25 / 2026-03-30,13,-69574.77,-19.7,283679.56
44,2026-04-01 / 2026-04-06,17,-18130.11,-6.39,265549.45
45,2026-04-07 / 2026-04-14,18,55085.46,20.74,320634.91
46,2026-04-14 / 2026-04-19,14,-17534.8,-5.47,303100.1
47,2026-04-21 / 2026-04-27,10,-47469.4,-15.66,255630.7
48,2026-04-28 / 2026-05-04,15,17779.8,6.96,273410.5
49,2026-05-05 / 2026-05-12,13,55268.57,20.21,328679.07
50,2026-05-13 / 2026-05-18,13,-40290.97,-12.26,288388.11
51,2026-05-19 / 2026-05-26,12,-26206.97,-9.09,262181.14
52,2026-05-26 / 2026-05-30,9,1558.01,0.59,263739.14
